"member","transaction_id","sale_date","product"
1000,1,2014-06-24,"whole milk"
1000,1,2014-06-24,"pastry"
1000,1,2014-06-24,"salty snack"
1000,2,2015-03-15,"sausage"
1000,2,2015-03-15,"whole milk"
1000,2,2015-03-15,"semi-finished bread"
1000,2,2015-03-15,"yogurt"
1000,3,2015-05-27,"soda"
1000,3,2015-05-27,"pickled vegetables"
1000,4,2015-07-24,"canned beer"
1000,4,2015-07-24,"misc. beverages"
1000,5,2015-11-25,"sausage"
1000,5,2015-11-25,"hygiene articles"
1001,6,2014-02-07,"sausage"
1001,6,2014-02-07,"whole milk"
1001,6,2014-02-07,"rolls/buns"
1001,7,2014-12-12,"whole milk"
1001,7,2014-12-12,"soda"
1001,8,2015-01-20,"frankfurter"
1001,8,2015-01-20,"soda"
1001,8,2015-01-20,"whipped/sour cream"
1001,9,2015-04-14,"beef"
1001,9,2015-04-14,"white bread"
1001,10,2015-05-02,"frankfurter"
1001,10,2015-05-02,"curd"
1002,11,2014-02-09,"frozen vegetables"
1002,11,2014-02-09,"other vegetables"
1002,12,2014-04-26,"butter"
1002,12,2014-04-26,"whole milk"
1002,13,2015-04-26,"tropical fruit"
1002,13,2015-04-26,"sugar"
1002,14,2015-08-30,"butter milk"
1002,14,2015-08-30,"specialty chocolate"
1003,15,2014-01-19,"frozen meals"
1003,15,2014-01-19,"dental care"
1003,16,2014-02-27,"rolls/buns"
1003,16,2014-02-27,"rolls/buns"
1003,17,2014-10-15,"root vegetables"
1003,17,2014-10-15,"detergent"
1003,18,2015-02-10,"sausage"
1003,18,2015-02-10,"rolls/buns"
1004,19,2014-02-04,"pip fruit"
1004,19,2014-02-04,"whole milk"
1004,19,2014-02-04,"tropical fruit"
1004,20,2014-05-01,"dish cleaner"
1004,20,2014-05-01,"cling film/bags"
1004,21,2014-06-10,"rolls/buns"
1004,21,2014-06-10,"red/blush wine"
1004,21,2014-06-10,"chocolate"
1004,22,2014-07-01,"canned beer"
1004,22,2014-07-01,"frozen fish"
1004,23,2014-07-10,"other vegetables"
1004,23,2014-07-10,"shopping bags"
1004,24,2014-08-19,"root vegetables"
1004,24,2014-08-19,"whole milk"
1004,24,2014-08-19,"pastry"
1004,25,2014-10-13,"whole milk"
1004,25,2014-10-13,"chocolate"
1004,25,2014-10-13,"packaged fruit/vegetables"
1004,25,2014-10-13,"rolls/buns"
1004,26,2015-12-02,"other vegetables"
1004,26,2015-12-02,"hygiene articles"
1005,27,2014-01-09,"rolls/buns"
1005,27,2014-01-09,"rolls/buns"
1005,28,2014-01-23,"whipped/sour cream"
1005,28,2014-01-23,"margarine"
1006,29,2014-04-09,"whole milk"
1006,29,2014-04-09,"rice"
1006,30,2014-07-05,"bottled water"
1006,30,2014-07-05,"softener"
1006,30,2014-07-05,"rolls/buns"
1006,31,2014-07-11,"shopping bags"
1006,31,2014-07-11,"skin care"
1006,32,2015-06-14,"whole milk"
1006,32,2015-06-14,"frankfurter"
1006,32,2015-06-14,"chicken"
1006,32,2015-06-14,"frankfurter"
1006,32,2015-06-14,"flour"
1006,32,2015-06-14,"chocolate"
1006,32,2015-06-14,"bottled beer"
1006,32,2015-06-14,"rolls/buns"
1008,33,2015-07-21,"tropical fruit"
1008,33,2015-07-21,"soda"
1008,33,2015-07-21,"yogurt"
1008,33,2015-07-21,"root vegetables"
