"transaction_id","product"
1,"whole milk"
1,"pastry"
1,"salty snack"
2,"sausage"
2,"whole milk"
2,"semi-finished bread"
2,"yogurt"
3,"soda"
3,"pickled vegetables"
4,"canned beer"
4,"misc. beverages"
5,"sausage"
5,"hygiene articles"
6,"sausage"
6,"whole milk"
6,"rolls/buns"
7,"whole milk"
7,"soda"
8,"frankfurter"
8,"soda"
8,"whipped/sour cream"
9,"beef"
9,"white bread"
10,"frankfurter"
10,"curd"
11,"frozen vegetables"
11,"other vegetables"
12,"butter"
12,"whole milk"
13,"tropical fruit"
13,"sugar"
14,"butter milk"
14,"specialty chocolate"
15,"frozen meals"
15,"dental care"
16,"rolls/buns"
16,"rolls/buns"
17,"root vegetables"
17,"detergent"
18,"sausage"
18,"rolls/buns"
19,"pip fruit"
19,"whole milk"
19,"tropical fruit"
20,"dish cleaner"
20,"cling film/bags"
21,"rolls/buns"
21,"red/blush wine"
21,"chocolate"
22,"canned beer"
22,"frozen fish"
23,"other vegetables"
23,"shopping bags"
24,"root vegetables"
24,"whole milk"
24,"pastry"
25,"whole milk"
25,"chocolate"
25,"packaged fruit/vegetables"
25,"rolls/buns"
26,"other vegetables"
26,"hygiene articles"
27,"rolls/buns"
27,"rolls/buns"
28,"whipped/sour cream"
28,"margarine"
29,"whole milk"
29,"rice"
30,"bottled water"
30,"softener"
30,"rolls/buns"
31,"shopping bags"
31,"skin care"
32,"whole milk"
32,"frankfurter"
32,"chicken"
32,"frankfurter"
32,"flour"
32,"chocolate"
32,"bottled beer"
32,"rolls/buns"
33,"tropical fruit"
33,"soda"
33,"yogurt"
33,"root vegetables"
33,"yogurt"
33,"domestic eggs"
33,"white wine"
33,"photo/film"
34,"hamburger meat"
34,"liquor (appetizer)"
34,"liver loaf"
34,"dessert"
35,"canned fish"
35,"cocoa drinks"
36,"tropical fruit"
36,"yogurt"
37,"pastry"
37,"ketchup"
38,"herbs"
38,"yogurt"
38,"newspapers"
39,"pip fruit"
39,"coffee"
39,"UHT-milk"
40,"kitchen towels"
40,"sliced cheese"
41,"bottled water"
41,"specialty bar"
42,"frankfurter"
42,"bottled water"
43,"pip fruit"
43,"candles"
43,"rolls/buns"
44,"citrus fruit"
44,"candy"
44,"bottled water"
44,"rolls/buns"
45,"curd cheese"
45,"pastry"
46,"whole milk"
46,"frankfurter"
46,"candles"
46,"grapes"
46,"herbs"
46,"other vegetables"
46,"yogurt"
47,"frozen vegetables"
47,"brown bread"
48,"processed cheese"
48,"whole milk"
49,"frankfurter"
49,"yogurt"
50,"tropical fruit"
50,"root vegetables"
50,"rolls/buns"
50,"onions"
50,"shopping bags"
51,"hard cheese"
51,"napkins"
51,"bottled water"
52,"whole milk"
52,"candy"
53,"tropical fruit"
53,"frozen vegetables"
54,"mustard"
54,"whipped/sour cream"
55,"other vegetables"
55,"mustard"
56,"root vegetables"
56,"mayonnaise"
57,"frozen meals"
57,"whole milk"
58,"white bread"
58,"meat"
58,"domestic eggs"
58,"roll products "
59,"hamburger meat"
59,"butter milk"
60,"whole milk"
60,"rolls/buns"
61,"canned beer"
61,"cookware"
62,"whole milk"
62,"sausage"
62,"bottled beer"
62,"yogurt"
63,"fruit/vegetable juice"
63,"rolls/buns"
63,"chocolate"
64,"salty snack"
64,"beef"
65,"citrus fruit"
65,"whole milk"
66,"soft cheese"
66,"pip fruit"
67,"chicken"
67,"red/blush wine"
68,"rolls/buns"
68,"frankfurter"
68,"oil"
68,"pip fruit"
68,"mayonnaise"
69,"UHT-milk"
69,"bottled beer"
70,"other vegetables"
70,"root vegetables"
71,"yogurt"
71,"beef"
72,"brown bread"
72,"pet care"
73,"other vegetables"
73,"rolls/buns"
74,"soda"
74,"dessert"
74,"shopping bags"
75,"beverages"
75,"domestic eggs"
76,"berries"
76,"cake bar"
77,"curd"
77,"long life bakery product"
78,"butter milk"
78,"root vegetables"
79,"hamburger meat"
79,"red/blush wine"
80,"frozen meals"
80,"butter"
80,"newspapers"
80,"yogurt"
81,"canned beer"
81,"shopping bags"
82,"canned beer"
82,"spices"
82,"rolls/buns"
82,"frozen fish"
83,"sliced cheese"
83,"butter"
84,"liquor"
84,"curd"
84,"yogurt"
84,"tropical fruit"
85,"rolls/buns"
85,"baking powder"
86,"beef"
86,"napkins"
87,"whole milk"
87,"whipped/sour cream"
88,"sausage"
88,"fruit/vegetable juice"
89,"chicken"
89,"frozen meals"
90,"male cosmetics"
90,"curd"
91,"domestic eggs"
91,"soda"
92,"sausage"
92,"whipped/sour cream"
92,"specialty bar"
93,"whipped/sour cream"
93,"root vegetables"
93,"rolls/buns"
93,"packaged fruit/vegetables"
94,"white bread"
94,"bottled beer"
94,"yogurt"
94,"berries"
95,"fish"
95,"root vegetables"
95,"tropical fruit"
95,"other vegetables"
96,"coffee"
96,"shopping bags"
97,"ham"
97,"cream cheese "
98,"canned beer"
98,"UHT-milk"
99,"sausage"
99,"dessert"
99,"rolls/buns"
99,"pickled vegetables"
100,"root vegetables"
100,"long life bakery product"
101,"citrus fruit"
101,"yogurt"
102,"fruit/vegetable juice"
102,"salty snack"
102,"candy"
102,"dental care"
102,"butter"
103,"root vegetables"
103,"whipped/sour cream"
103,"root vegetables"
103,"canned beer"
104,"softener"
104,"salt"
104,"whole milk"
105,"rolls/buns"
105,"bottled water"
106,"rolls/buns"
106,"red/blush wine"
107,"pork"
107,"hamburger meat"
108,"rolls/buns"
108,"sugar"
109,"rolls/buns"
109,"baking powder"
109,"onions"
109,"bottled water"
110,"soda"
110,"butter"
111,"onions"
111,"canned beer"
111,"flower (seeds)"
112,"specialty chocolate"
112,"root vegetables"
113,"dessert"
113,"ham"
114,"ice cream"
114,"pot plants"
115,"beverages"
115,"cream cheese "
116,"other vegetables"
116,"other vegetables"
116,"berries"
117,"whipped/sour cream"
117,"newspapers"
118,"white bread"
118,"whole milk"
118,"pastry"
118,"shopping bags"
119,"berries"
119,"soda"
119,"butter"
119,"other vegetables"
119,"white bread"
119,"cream cheese "
120,"ice cream"
120,"whipped/sour cream"
121,"yogurt"
121,"root vegetables"
122,"frankfurter"
122,"pastry"
123,"fruit/vegetable juice"
123,"dessert"
124,"sausage"
124,"snack products"
124,"rolls/buns"
125,"tropical fruit"
125,"soda"
125,"rolls/buns"
126,"chicken"
126,"waffles"
127,"pip fruit"
127,"cling film/bags"
127,"yogurt"
127,"cat food"
128,"bottled water"
128,"domestic eggs"
128,"frozen meals"
129,"tropical fruit"
129,"newspapers"
130,"whole milk"
130,"frozen vegetables"
131,"pip fruit"
131,"white wine"
131,"white bread"
131,"salt"
132,"whole milk"
132,"yogurt"
132,"yogurt"
132,"rolls/buns"
133,"sausage"
133,"frozen vegetables"
134,"whole milk"
134,"newspapers"
135,"fruit/vegetable juice"
135,"vinegar"
136,"tropical fruit"
136,"white bread"
136,"rolls/buns"
137,"citrus fruit"
137,"shopping bags"
137,"chewing gum"
137,"cake bar"
138,"frankfurter"
138,"yogurt"
138,"canned beer"
139,"margarine"
139,"napkins"
140,"sausage"
140,"pork"
140,"butter"
140,"whole milk"
140,"fruit/vegetable juice"
141,"whole milk"
141,"pip fruit"
141,"whipped/sour cream"
142,"other vegetables"
142,"specialty chocolate"
143,"pip fruit"
143,"herbs"
143,"frozen meals"
144,"Instant food products"
144,"whipped/sour cream"
144,"butter"
144,"cake bar"
145,"salty snack"
145,"rolls/buns"
146,"yogurt"
146,"rolls/buns"
147,"whole milk"
147,"pasta"
147,"rolls/buns"
148,"root vegetables"
148,"white bread"
149,"tropical fruit"
149,"chicken"
149,"onions"
149,"packaged fruit/vegetables"
150,"chicken"
150,"frozen vegetables"
150,"candy"
151,"tropical fruit"
151,"brown bread"
151,"whole milk"
152,"prosecco"
152,"dessert"
153,"hamburger meat"
153,"yogurt"
154,"beef"
154,"dessert"
155,"citrus fruit"
155,"bottled water"
156,"whole milk"
156,"other vegetables"
157,"tropical fruit"
157,"sliced cheese"
158,"napkins"
158,"whole milk"
158,"chocolate marshmallow"
159,"citrus fruit"
159,"rolls/buns"
159,"whole milk"
160,"tropical fruit"
160,"other vegetables"
161,"root vegetables"
161,"curd"
162,"root vegetables"
162,"yogurt"
162,"butter"
162,"yogurt"
163,"fruit/vegetable juice"
163,"specialty chocolate"
163,"Instant food products"
164,"chicken"
164,"onions"
165,"whole milk"
165,"pastry"
166,"pork"
166,"bottled water"
167,"pip fruit"
167,"soda"
168,"curd"
168,"soda"
169,"sweet spreads"
169,"butter"
170,"rolls/buns"
170,"condensed milk"
170,"whole milk"
170,"soda"
171,"rolls/buns"
171,"tropical fruit"
172,"specialty bar"
172,"margarine"
173,"butter"
173,"whole milk"
174,"white bread"
174,"candy"
175,"frankfurter"
175,"herbs"
176,"waffles"
176,"beverages"
177,"house keeping products"
177,"yogurt"
178,"pasta"
178,"yogurt"
178,"cat food"
179,"whipped/sour cream"
179,"hygiene articles"
180,"UHT-milk"
180,"other vegetables"
180,"dishes"
181,"meat"
181,"whole milk"
182,"hamburger meat"
182,"bottled beer"
183,"pork"
183,"coffee"
